Year,MES,LINEA,TIPO,TOTAL_MX,TOTAL_DLS
1900,01ENE,Ensamble Kits,PESOS,286839,14060.74
1900,01ENE,Estamp.,PESOS,153189.6,8187.58
1900,01ENE,Hang Tag,PESOS,131683.2,7038.12
1900,01ENE,Heat Transfer Unidad,PESOS,540490.4,28327.59
1900,01ENE,Materia prima,PESOS,5916,301.22
1900,01ENE,Ori.Cor,PESOS,711200.64,36211.85
1900,01ENE,Otros Serv.,PESOS,2030,101.96
1900,01ENE,Publicitario,PESOS,8485.4,453.52
1900,01ENE,Repuestos,PESOS,51924.66,2721.42
1900,01ENE,Repuestos FX,PESOS,54849.81,2754.89
1900,01ENE,Thermal,PESOS,85845.57,4311.68
2016,01ENE,Ensamble Kits,PESOS,256464.4,14161.48
2016,01ENE,Estamp.,PESOS,107784.3,5951.65
2016,01ENE,Hang Tag,PESOS,15538.2,857.99
2016,01ENE,Heat Transfer Rollo,PESOS,14210.41,784.67
2016,01ENE,Heat Transfer Unidad,PESOS,86025.6,4750.17
2016,01ENE,Ori.Cor,PESOS,96341.48,5319.79
2016,01ENE,Otros Serv.,PESOS,300,16.57
2016,01ENE,Publicitario,PESOS,4308.24,237.89
2016,01ENE,Thermal,PESOS,13091.79,722.9
2016,02FEB,Ensamble Kits,PESOS,159926.82,8821.12
2016,02FEB,Estamp.,PESOS,96240.56,5308.36
2016,02FEB,Hang Tag,PESOS,58696,3237.51
2016,02FEB,Heat Transfer Unidad,PESOS,255930.6,14116.41
2016,02FEB,Materia prima,PESOS,9744,537.45
2016,02FEB,Ori.Cor,PESOS,65192,3595.81
2016,02FEB,Otros Serv.,PESOS,366.42,20.21
2016,02FEB,Repuestos FX,PESOS,27329.6,1507.42
2016,02FEB,Thermal,PESOS,23372.58,1289.17
2016,03MAR,Ensamble Kits,PESOS,153878.64,8905.01
2016,03MAR,Estamp.,PESOS,109978.44,6364.49
2016,03MAR,Hang Tag,PESOS,48678.24,2817.03
2016,03MAR,Heat Transfer Rollo,PESOS,1418.34,82.08
2016,03MAR,Heat Transfer Unidad,PESOS,45856.31,2653.72
2016,03MAR,Ori.Cor,PESOS,130384,7545.37
2016,03MAR,Otros Serv.,PESOS,488.59,28.27
2016,03MAR,Publicitario,PESOS,3611.08,208.97
2016,03MAR,Repuestos FX,PESOS,21106.12,1221.42
2016,03MAR,Thermal,PESOS,24286.84,1405.49
2016,04MAR,Ensamble Kits,PESOS,192348.3,11202.58
2016,04MAR,Estamp.,PESOS,107734.54,6274.58
2016,04MAR,Hang Tag,PESOS,50603.84,2947.22
2016,04MAR,Heat Transfer Unidad,PESOS,99255.4,5780.75
2016,04MAR,Ori.Cor,PESOS,98953.8,5763.18
2016,04MAR,Publicitario,PESOS,6483.24,377.59
2016,04MAR,Repuestos FX,PESOS,19720,1148.51
2016,04MAR,Thermal,PESOS,17146.83,998.65
2016,05MAY,Ensamble Kits,PESOS,294934.06,15976.93
2016,05MAY,Estamp.,PESOS,104585.6,5665.53
2016,05MAY,Hang Tag,PESOS,11952.64,647.49
2016,05MAY,Heat Transfer Unidad,PESOS,40358.31,2186.26
2016,05MAY,Materia prima,PESOS,12992,703.79
2016,05MAY,Ori.Cor,PESOS,109272,5919.39
2016,05MAY,Otros Serv.,PESOS,325641,17640.36
2016,05MAY,Repuestos FX,PESOS,42212.14,2286.68
2016,05MAY,Thermal,PESOS,31751.97,1720.04
2016,06JUN,Ensamble Kits,PESOS,123102.91,6734.29
2016,06JUN,Estamp.,PESOS,91594.71,5010.65
2016,06JUN,Hang Tag,PESOS,14546.4,795.75
2016,06JUN,Heat Transfer Rollo,PESOS,1089.94,59.62
2016,06JUN,Heat Transfer Unidad,PESOS,64450.25,3525.72
2016,06JUN,Ori.Cor,PESOS,145696,7970.24
2016,06JUN,Otros Serv.,PESOS,450.07,24.62
2016,06JUN,Publicitario,PESOS,9842.6,538.44
2016,06JUN,Repuestos FX,PESOS,17318.8,947.42
2016,06JUN,Thermal,PESOS,38280,2094.09
2016,07JUL,Ensamble Kits,PESOS,169762.87,9054.02
2016,07JUL,Estamp.,PESOS,67859.99,3619.2
2016,07JUL,Hang Tag,PESOS,64791.8,3455.56
2016,07JUL,Heat Transfer Rollo,PESOS,19836,1057.92
2016,07JUL,Heat Transfer Unidad,PESOS,93610.84,4992.58
2016,07JUL,Materia prima,PESOS,18096,965.12
2016,07JUL,Ori.Cor,PESOS,94702.4,5050.79
2016,07JUL,Otros Serv.,PESOS,513.88,27.41
2016,07JUL,Repuestos FX,PESOS,21692,1156.91
2016,07JUL,Thermal,PESOS,60260.93,3213.92
2016,08AGO,Ensamble Kits,PESOS,256464.4,13656.25
2016,08AGO,Estamp.,PESOS,128039.67,6817.87
2016,08AGO,Hang Tag,PESOS,44149.6,2350.88
2016,08AGO,Heat Transfer Rollo,PESOS,9071.2,483.02
2016,08AGO,Heat Transfer Unidad,PESOS,93610.84,4984.6
2016,08AGO,Ori.Cor,PESOS,97788,5207.03
2016,08AGO,Publicitario,PESOS,8485.4,451.83
2016,08AGO,Repuestos FX,PESOS,4072.76,216.87
2016,08AGO,Thermal,PESOS,21158.4,1126.65
2016,09SEP,Ensamble Kits,PESOS,153878.64,7940.07
2016,09SEP,Estamp.,PESOS,89328.8,4609.33
2016,09SEP,Hang Tag,PESOS,53782.01,2775.13
2016,09SEP,Heat Transfer Unidad,PESOS,211850.8,10931.41
2016,09SEP,Materia prima,PESOS,4162.08,214.76
2016,09SEP,Ori.Cor,PESOS,50523.8,2607.01
2016,09SEP,Otros Serv.,PESOS,325641,16802.94
2016,09SEP,Repuestos FX,PESOS,58647.02,3026.16
2016,09SEP,Thermal,PESOS,19733.69,1018.25
2016,10OCT,Bases,PESOS,715.77,37.95
2016,10OCT,Ensamble Kits,PESOS,154826.65,8209.26
2016,10OCT,Estamp.,PESOS,84569.43,4484.06
2016,10OCT,Hang Tag,PESOS,29058,1540.72
2016,10OCT,Heat Transfer Unidad,PESOS,70057.47,3714.61
2016,10OCT,Ori.Cor,PESOS,80376.4,4261.74
2016,10OCT,Otros Serv.,PESOS,1774.8,94.1
2016,10OCT,Repuestos FX,PESOS,41608.43,2206.17
2016,10OCT,Thermal,PESOS,23227.14,1231.56
2016,11NOV,Ensamble Kits,PESOS,154826.65,7526.82
2016,11NOV,Estamp.,PESOS,51134.97,2485.9
2016,11NOV,Hang Tag,PESOS,62848.8,3055.36
2016,11NOV,Heat Transfer Unidad,PESOS,60120.34,2922.72
2016,11NOV,Ori.Cor,PESOS,110200,5357.32
2016,11NOV,Otros Serv.,PESOS,4634.2,225.29
2016,11NOV,Repuestos FX,PESOS,41608.43,2022.77
2016,11NOV,Thermal,PESOS,24406.54,1186.51
2016,12DIC,Ensamble Kits,PESOS,135424.2,6535.92
2016,12DIC,Estamp.,PESOS,65533.09,3162.79
2016,12DIC,Hang Tag,PESOS,19488,940.54
2016,12DIC,Heat Transfer Unidad,PESOS,37934.53,1830.82
2016,12DIC,Ori.Cor,PESOS,52455.2,2531.62
2016,12DIC,Repuestos FX,PESOS,20730.04,1000.48
2016,12DIC,Thermal,PESOS,14105.6,680.77
2017,01ENE,Ensamble Kits,PESOS,181356.14,8706.49
2017,01ENE,Estamp.,PESOS,40360.32,1937.61
2017,01ENE,Hang Tag,PESOS,49926.4,2396.85
2017,01ENE,Heat Transfer Unidad,PESOS,73240.08,3516.09
2017,01ENE,Ori.Cor,PESOS,165300,7935.67
2017,01ENE,Repuestos FX,PESOS,53457.06,2566.35
2017,01ENE,Thermal,PESOS,24316.88,1167.4
2017,02FEB,Ensamble Kits,PESOS,191226,9513.73
2017,02FEB,Estamp.,PESOS,62767.12,3122.74
2017,02FEB,Hang Tag,PESOS,44654.43,2221.61
2017,02FEB,Heat Transfer Unidad,PESOS,72848,3624.28
2017,02FEB,Ori.Cor,PESOS,96637.34,4807.83
2017,02FEB,Repuestos FX,PESOS,40662.59,2023.01
2017,02FEB,Thermal,PESOS,22689.53,1128.83
2017,03MAR,Ensamble Kits,PESOS,191226,10215.06
2017,03MAR,Estamp.,PESOS,89182.76,4764.04
2017,03MAR,Hang Tag,PESOS,29939.6,1599.34
2017,03MAR,Heat Transfer Unidad,PESOS,39098.84,2088.61
2017,03MAR,Ori.Cor,PESOS,275067.67,14693.79
2017,03MAR,Otros Serv.,PESOS,150,8.01
2017,03MAR,Repuestos FX,PESOS,20730.04,1107.37
2017,03MAR,Thermal,PESOS,12165.04,649.84
2017,04MAR,Ensamble Kits,PESOS,156186.22,8298.95
2017,04MAR,Estamp.,PESOS,41099.15,2183.8
2017,04MAR,Hang Tag,PESOS,85503.6,4543.23
2017,04MAR,Heat Transfer Unidad,PESOS,81259.13,4317.7
2017,04MAR,Ori.Cor,PESOS,351709.91,18688.09
2017,04MAR,Otros Serv.,PESOS,809.98,43.04
2017,04MAR,Repuestos FX,PESOS,40662.59,2160.61
2017,04MAR,Thermal,PESOS,27182.63,1444.35
